"Golf, using power cart",1.5896343144572884
Gymnastics,1.8148971635497992
Hacky sack,1.8148971635497992
Handball,5.447523906070327
"Handball, team",3.632626742520527
"Hockey, field hockey",3.632626742520527
"Hockey, ice hockey",3.632626742520527
"Riding a horse, general",1.8148971635497992
"Horesback riding, saddling horse",1.5896343144572884
"Horseback riding, grooming horse",1.5896343144572884
"Horseback riding, trotting",2.9508631907038674
"Horseback riding, walking",1.135966027154068
"Horse racing, galloping",3.632626742520527
"Horse grooming, moderate",2.722457752493158
Horseshoe pitching,1.361228876246579
Jai alai,5.447523906070327
"Martial arts, judo, karate, jujitsu",4.540187331463885
"Martial arts, kick boxing",4.540187331463885
"Martial arts, tae kwan do",4.540187331463885
Krav maga training,4.540187331463885
Juggling,1.8148971635497992
Kickball,3.1777389430221845
Lacrosse,3.632626742520527
Orienteering,4.084906140934859
Playing paddleball,2.722457752493158
"Paddleball, competitive",4.540187331463885
Polo,3.632626742520527
"Racquetball, competitive",4.540187331463885
Playing racquetball,3.1777389430221845
"Rock climbing, ascending rock",4.993855618767106
"Rock climbing, rappelling",3.632626742520527
"Jumping rope, fast",5.447523906070327
"Jumping rope, moderate",4.540187331463885
"Jumping rope, slow",3.632626742520527
Rugby,4.540187331463885
"Shuffleboard, lawn bowling",1.361228876246579
Skateboarding,2.270178354078826
Roller skating,3.1777389430221845
"Roller blading, in-line skating",5.447523906070327
Sky diving,1.361228876246579
"Soccer, competitive",4.540187331463885
Playing soccer,3.1777389430221845
Softball or baseball,2.270178354078826
"Softball, officiating",1.8148971635497992
"Softball, pitching",2.722457752493158
Squash,5.447523906070327
"Table tennis, ping pong",1.8148971635497992
Tai chi,1.8148971635497992
Playing tennis,3.1777389430221845
"Tennis, doubles",2.722457752493158
"Tennis, singles",3.632626742520527
Trampoline,1.5896343144572884
"Volleyball, competitive",3.632626742520527
Playing volleyball,1.361228876246579
"Volleyball, beach",3.632626742520527
Wrestling,2.722457752493158
Wallyball,3.1777389430221845
"Backpacking, Hiking with pack",3.1777389430221845
